trade_id,session,symbol,direction,qty,nq_equiv,entry_price,exit_price,opened_at,closed_at,gross_pnl,costs,cost_basis,net_pnl,standardised_pnl,legs,source,account_label,override,flags
20260804-1116498327,2026-08-04,MNQ,short,1,0.1,29205.5,29200.5,2026-08-04T12:32:34.830000+00:00,2026-08-04T12:32:39.555000+00:00,10.00,0.50,reported,9.50,95.00,1,tpt,account 1,,
20260804-1116498329,2026-08-04,NQ,long,4,4,29267.5,29289.0,2026-08-04T13:30:28+00:00,2026-08-04T13:30:41.276000+00:00,1720.00,20.00,reported,1700.00,425.00,1,tpt,account 1,,
20260807-1124012146,2026-08-07,NQ,long,1,1,29759.25,29775.0,2026-08-07T13:32:08.505000+00:00,2026-08-07T13:34:44.764000+00:00,315.00,5.00,reported,310.00,310.00,1,tpt,account 1,,
20260810-1136527686,2026-08-10,MNQ,short,5,0.5,29795.25,29788.25,2026-08-10T13:34:10.197000+00:00,2026-08-10T13:36:06.429000+00:00,70.00,7.50,reported,62.50,125.00,2,tpt,account 1,,
20260811-1142244620,2026-08-11,MNQ,long,5,0.5,29750.5,29721.25,2026-08-11T13:41:56.341000+00:00,2026-08-11T13:44:12.130000+00:00,-292.50,7.50,reported,-300.00,-600.00,1,tpt,account 1,,
20260811-1142244626,2026-08-11,NQ,long,1,1,29657.5,29662.0,2026-08-11T13:46:21.371000+00:00,2026-08-11T13:46:59.050000+00:00,90.00,4.50,reported,85.50,85.50,1,tpt,account 1,,possible_scale_with:20260811-1142244625
20260811-1142244625,2026-08-11,NQ,long,1,1,29671.75,29672.5,2026-08-11T13:48:54.236000+00:00,2026-08-11T13:50:24.119000+00:00,15.00,4.50,reported,10.50,10.50,1,tpt,account 1,,possible_scale_with:20260811-1142244626
20260813-1144963605,2026-08-13,NQ,short,1,1,29879.25,29877.75,2026-08-13T13:31:39.267000+00:00,2026-08-13T13:32:27.649000+00:00,30.00,4.50,reported,25.50,25.50,1,tpt,account 1,,possible_scale_with:20260813-1144963623
20260813-1144963623,2026-08-13,NQ,short,1,1,29871.25,29892.5,2026-08-13T13:32:34.071000+00:00,2026-08-13T13:33:08.810000+00:00,-425.00,4.50,reported,-429.50,-429.50,1,tpt,account 1,,possible_scale_with:20260813-1144963605
20260813-1144963621,2026-08-13,NQ,long,2,2,29908.75,29942.625,2026-08-13T13:34:06.840000+00:00,2026-08-13T13:35:10.189000+00:00,1355.00,9.00,reported,1346.00,673.00,2,tpt,account 1,,
20260814-1144044104,2026-08-14,MNQ,short,5,0.5,30219.25,30219.0,2026-08-14T13:33:47.608000+00:00,2026-08-14T13:34:00.201000+00:00,2.50,7.50,reported,-5.00,-10.00,1,tpt,account 1,,
20260814-1144044093,2026-08-14,NQ,short,1,1,30211.25,30207.0,2026-08-14T13:35:27.032000+00:00,2026-08-14T13:36:06.549000+00:00,85.00,4.50,reported,80.50,80.50,1,tpt,account 1,,
20260814-1144044103,2026-08-14,NQ,long,1,1,30202.5,30219.75,2026-08-14T13:39:33.112000+00:00,2026-08-14T13:40:09.291000+00:00,345.00,4.50,reported,340.50,340.50,1,tpt,account 1,,
